p,K,KsqrtlogK,deviation
0.001,12.0309552383696,18.974929268951,15.2239130873227
0.00201020408163265,8.94912817933914,13.2482045966579,10.646327085071
0.00302040816326531,7.55182448091906,10.7379115511402,8.5932816351858
0.00403061224489796,6.70546918283657,9.24995956781536,7.39733854129813
0.00504081632653061,6.12079378597278,8.23853339339183,6.52269075436127
0.00605102040816327,5.68491485486715,7.49421035138866,6.05977947996884
0.00706122448979592,5.34332474142476,6.91717703705238,5.40485907232319
0.00807142857142857,5.06600113038935,6.45304307733163,5.05209820030974
0.00908163265306123,4.83484546295621,6.06931838479214,4.87654127816932
0.0100918367346939,4.63820180131186,5.74524519717082,4.55294344634665
0.0111020408163265,4.46817384466569,5.46686098490599,4.30988124217155
0.0121122448979592,4.31919375351808,5.2243835586393,4.18124729796192
0.0131224489795918,4.18720585764103,5.01072911162426,3.84292398934558
0.0141326530612245,4.06917535959763,4.82062543181122,3.82096160645944
0.0151428571428571,3.96277928595044,4.65005702175257,3.67870809384845
0.0161530612244898,3.86620475608143,4.49590467206572,3.47496838719046
0.0171632653061225,3.77801309650175,4.35570378272002,3.41559598183252
0.0181734693877551,3.69704579685786,4.22747781276404,3.22797440177622
0.0191836734693878,3.6223578720826,4.10962073726082,3.26675916777793
0.0201938775510204,3.55316965648165,4.00081233687031,3.11844739234101
0.0212040816326531,3.4888312863186,3.89995600708009,3.04419403816392
0.0222142857142857,3.42879609965276,3.80613233925921,3.00993435515103
0.0232244897959184,3.37260042000571,3.71856395568543,2.89053103144855
0.024234693877551,3.31984798682411,3.63658851075536,2.88456082318456
0.0252448979591837,3.27019781960787,3.55963770843193,2.83133300124114
0.0262551020408163,3.22335465420493,3.48722081358671,2.80035107968843
0.027265306122449,3.17906133011925,3.4189115626572,2.65664871877664
0.0282755102040816,3.1370926747078,3.35433767550929,2.62099617528131
0.0292857142857143,3.09725054799721,3.29317237903894,2.51563454495305
0.0302959183673469,3.05935979617897,3.23512750196214,2.54044868062397
0.0313061224489796,3.02326492296227,3.17994780791511,2.5531832508532
0.0323163265306122,2.98882733279487,3.12740631277934,2.42631640209973
0.0333265306122449,2.95592303321141,3.07730039045055,2.40577146450248
0.0343367346938776,2.9244407084822,3.02944851486463,2.33850163853472
0.0353469387755102,2.89428009558441,2.98368751900422,2.3309198549007
0.0363571428571429,2.86535060790612,2.93987027668224,2.21301268736259
0.0373673469387755,2.83757016317022,2.89786373216083,2.26902546701933
0.0383775510204082,2.81086418066002,2.85754721758254,2.25319103188496
0.0393877551020408,2.78516471954736,2.81881100983,2.095851947385
0.0403979591836735,2.76040973541296,2.78155508757711,2.09704086869868
0.0414081632653061,2.73654243624055,2.74568805652987,2.14023072435331
0.0424183673469388,2.71351072250862,2.7111262166149,2.17104980821775
0.0434285714285714,2.69126669868514,2.67779274948622,2.09735447754514
0.0444387755102041,2.66976624559336,2.64561700843571,2.05526914800186
0.0454489795918367,2.64896864487147,2.61453389580099,2.10803176885961
0.0464591836734694,2.62883624817868,2.58448331541233,2.0814130011639
0.047469387755102,2.60933418497203,2.55540968962305,1.97131884805566
0.0484795918367347,2.59043010364193,2.52726153211282,1.98437882262294
0.0494897959183674,2.57209394159159,2.49999106901156,1.99208869263158
0.0505,2.55429772050662,2.47355390201698,1.93463407850106
0.0515102040816327,2.53701536361261,2.44790870811569,1.88742587276318
0.0525204081632653,2.52022253217936,2.42301697130046,1.83538920909789
0.053530612244898,2.50389647891803,2.3988427423324,1.80749437851806
0.0545408163265306,2.48801591624352,2.37535242314923,1.79029371973579
0.0555510204081633,2.47256089765074,2.35251457298744,1.7917737568613
0.0565612244897959,2.45751271068712,2.33029973368099,1.78907180416365
0.0575714285714286,2.44285378020333,2.30868027193558,1.83476633181629
0.0585816326530612,2.42856758073413,2.28763023666348,1.84642017448521
0.0595918367346939,2.41463855700683,2.26712522970917,1.78307293938106
0.0606020408163265,2.40105205169994,2.24714228850587,1.79501026646559
0.0616122448979592,2.38779423968222,2.22765977938351,1.67679974695119
0.0626224489795918,2.37485206805513,2.20865730040466,1.59678613160462
0.0636326530612245,2.36221320140227,2.19011559273918,1.67111404482446
0.0646428571428571,2.34986597171878,2.17201645970521,1.62033923317696
0.0656530612244898,2.33779933255472,2.15434269270502,1.62400524357049
0.0666632653061225,2.32600281695888,2.13707800337284,1.6389574559689
0.0676734693877551,2.31446649885592,2.12020696132823,1.61965210068761
0.0686836734693878,2.30318095752988,2.10371493699623,1.61681583775441
0.0696938775510204,2.29213724492277,2.08758804901391,1.63855075699536
0.0707040816326531,2.28132685548777,2.07181311579525,1.63245587563225
0.0717142857142857,2.27074169836431,2.0563776108713,1.61159482148979
0.0727244897959184,2.26037407166628,2.04126962166294,1.57480795684554
0.073734693877551,2.25021663869598,2.02647781137878,1.52264494693541
0.0747448979591837,2.24026240591544,2.01199138376226,1.62786231355614
0.0757551020408163,2.23050470252354,1.99780005043959,1.50555107202772
0.076765306122449,2.22093716150215,1.98389400064482,1.51273982107347
0.0777755102040816,2.21155370200784,1.97026387312036,1.44980803284526
0.0787857142857143,2.20234851299764,1.95690073001063,1.524136726598
0.0797959183673469,2.19331603798762,1.94379603258389,1.50312157793694
0.0808061224489796,2.18445096085295,1.93094161863312,1.45324996417525
0.0818163265306122,2.17574819258595,1.91832968142016,1.4169347546791
0.0828265306122449,2.16720285893679,1.90595275004052,1.43376366396185
0.0838367346938775,2.15881028886799,1.89380367109669,1.44528402292236
0.0848469387755102,2.15056600375998,1.88187559157833,1.47550462041825
0.0858571428571429,2.14246570731068,1.87016194285653,1.44676066016382
0.0868673469387755,2.13450527607687,1.85865642570751,1.38826588448709
0.0878775510204082,2.12668075060955,1.84735299628847,1.42838646401843
0.0888877551020408,2.11898832713981,1.8362458529948,1.44513952493889
0.0898979591836735,2.11142434977508,1.8253294241341,1.39405174120217
0.0909081632653061,2.10398530316907,1.81459835635763,1.42466827281219
0.0919183673469388,2.09666780563191,1.80404750379482,1.41681631264317
0.0929285714285714,2.08946860264934,1.79367191784093,1.41054668674545
0.0939387755102041,2.0823845607826,1.783466837552,1.44500689218048
0.0949489795918367,2.07541266192295,1.77342768060487,1.3844219820708
0.0959591836734694,2.06854999787644,1.7635500347834,1.40605769928125
0.0969693877551021,2.06179376525689,1.75382964995515,1.39886778762373
0.0979795918367347,2.05514126066645,1.74426243050536,1.42093432082753
0.0989897959183673,2.04858987614485,1.73484442819795,1.35626517649928
0.1,2.0421370948696,1.72557183543517,1.28603862478063
