p,K,KsqrtlogK,MND
0.001,12.0309552383696,18.974929268951,15.098379320394
0.002,8.96826281988444,13.2829993662383,10.5332314030332
0.003,7.57305995848479,10.7755814019443,8.57269546434043
0.004,6.726452228561,9.28651920839927,7.65106568478623
0.005,6.14103679107022,8.27330902875863,6.91582331326042
0.006,5.70434160598513,7.52719718288921,5.88848681515549
0.007,5.36196920414319,6.94852310848004,5.6173681229525
0.008,5.08392578985131,6.48291993855439,5.16167690051767
0.009,4.85211616482189,6.09788612172211,4.88418395600802
0.01,4.65487986241892,5.77264431235117,4.54475995599962
0.011,4.4843139769192,5.49321236773815,4.24233946033883
0.012,4.33484400993236,5.24979073136152,4.01998600764748
0.013,4.20240824404478,5.03528086190143,3.85991337189219
0.014,4.08396660819956,4.84439823667283,3.85875058724025
0.015,3.97719160600959,4.67311711218487,3.52117032731254
0.016,3.88026650090818,4.51830973862199,3.55576031164574
0.017,3.79174933447605,4.3775043682933,3.40727620536879
0.018,3.71047879227328,4.24871844669263,3.29110192455149
0.019,3.63550748737772,4.13034086026601,3.28041684050512
0.02,3.56605368821084,4.02104705831791,3.15420586390682
0.021,3.50146574615166,3.91973672808103,3.07661135049681
0.022,3.44119545008202,3.82548726823964,3.03957371747908
0.023,3.38477777280981,3.7375185374503,2.92437743715927
0.024,3.33181527088274,3.65516578562541,2.83321185239302
0.025,3.28196592343303,3.57785861455407,2.81311325702657
0.026,3.23493354754415,3.50510444280574,2.70275924106146
0.027,3.1904601681678,3.43647537822378,2.68590139972146
0.028,3.14831988780789,3.37159769824982,2.5535705372178
0.029,3.10831391917321,3.31014334732068,2.61184234316684
0.03,3.07026652843265,3.25182300977039,2.64688399569285
0.031,3.03402169791039,3.19638042455507,2.5053791899392
0.032,2.99944036195588,3.14358768707634,2.43880151089651
0.033,2.96639810302467,3.09324134181206,2.34645641253551
0.034,2.9347832199623,3.045159113157,2.40451354468762
0.035,2.90449509936524,2.99917715486657,2.31540144092232
0.036,2.87544283530836,2.95514772363082,2.29134749665983
0.037,2.84754405382663,2.91293720161858,2.20238019862577
0.038,2.82072390715069,2.87242440778871,2.22369985225616
0.039,2.79491420942913,2.83349914943723,2.27739184191143
0.04,2.77005269097058,2.79606097462102,2.11990584911675
0.041,2.7460823522399,2.76001809335484,2.11471335537849
0.042,2.72295090219272,2.7252864412551,2.09727034426063
0.043,2.70061026822017,2.69178886393002,2.09459489637199
0.044,2.67901616714393,2.65945440414224,2.10570781646352
0.045,2.65812772846043,2.62821767678711,2.01038794947449
0.046,2.63790716246643,2.59801831918602,2.00431313416189
0.047,2.61831946707299,2.56880050620289,1.95046058252061
0.048,2.59933216808119,2.54051252134248,1.96956232166589
0.049,2.58091508849175,2.51310637635199,1.95679662810338
0.05,2.56304014308419,2.48653747297612,1.86771919038829
0.051,2.54568115505366,2.46076430145647,1.86941038977636
0.052,2.52881369195614,2.43574817115067,1.90268545612577
0.053,2.51241491860102,2.41145296930578,1.85411202121147
0.054,2.4964634648574,2.38784494457455,1.77757427053797
0.055,2.48093930661708,2.36489251233111,1.82575578084686
0.056,2.46582365839225,2.34256607923955,1.87317413336283
0.057,2.45109887622555,2.32083788486579,1.77825890583777
0.058,2.43674836976068,2.29968185841063,1.75932827033287
0.059,2.42275652246816,2.2790734888877,1.77301758345613
0.06,2.40910861914573,2.25898970728068,1.75817889997451
0.061,2.39579077992125,2.23940877939557,1.71648048591951
0.062,2.38278990007901,2.22031020827998,1.64365881712802
0.063,2.3700935951107,2.20167464521628,1.67873071583758
0.064,2.35769015046287,2.18348380841284,1.59801922092422
0.065,2.34556847551279,2.16572040861889,1.61238244803096
0.066,2.33371806135815,2.14836808097717,1.69729548159098
0.067,2.3221289420521,2.13141132250575,1.61118107549482
0.068,2.31079165895567,2.1148354346678,1.60567960701232
0.069,2.29969722791515,2.09862647054733,1.66908093387072
0.07,2.28883710900332,2.08277118620069,1.64469769410142
0.071,2.27820317859073,2.0672569957996,1.5769170240696
0.072,2.26778770353771,2.05207193022126,1.63561860577676
0.073,2.2575833173191,2.03720459877713,1.56323882965046
0.074,2.2475829979127,2.02264415380309,1.58808136109388
0.075,2.23778004729926,2.00838025786165,1.57682431687724
0.076,2.22816807243694,1.99440305333156,1.49650636511073
0.077,2.21874096758617,1.98070313418237,1.46474107402787
0.078,2.20949289787312,1.96727151975065,1.5508673535875
0.079,2.2004182839902,1.95409963035257,1.47399179516028
0.08,2.19151178794175,1.94117926458261,1.45331400061454
0.081,2.18276829975136,1.92850257816259,1.45367986950062
0.082,2.17418292505512,1.91606206421731,1.48999667080472
0.083,2.16575097351162,1.9038505348647,1.46780911982371
0.084,2.15746794796586,1.89186110401806,1.42620030482075
0.085,2.1493295343098,1.8800871713073,1.4813996087839
0.086,2.14133159198701,1.86852240703427,1.43462431834444
0.087,2.13347014509367,1.85716073808433,1.45230377108405
0.088,2.12574137403201,1.84599633472338,1.44908744121224
0.089,2.11814160767619,1.83502359821521,1.45610354820682
0.09,2.1106673160136,1.82423714919974,1.42838123823196
0.091,2.10331510322797,1.81363181677744,1.44272360939975
0.092,2.0960817011932,1.80320262824984,1.38794412268583
0.093,2.08896396334933,1.79294479947012,1.39660254961874
0.094,2.08195885893433,1.7828537257612,1.39404447083759
0.095,2.0750634675476,1.77292497336253,1.38819379107923
0.096,2.06827497402281,1.76315427136944,1.41221121851881
0.097,2.06159066358934,1.75353750413203,1.36344319749233
0.098,2.0550079173035,1.74407070408282,1.38783943487509
0.099,2.04852420773174,1.73475004496503,1.37071390419075
0.1,2.0421370948696,1.72557183543517,1.22197426164503
